created_at,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at
2020-11-04 08:36:57,1.3239070730048225e+18,"#USelections2020
#trump
#biden https://t.co/FrGHzxAccT",1.0,0.0,Twitter for Android,8.303336201035612e+17,देशभक्त DOCTOR🇮🇳,uniyaladarsh,"360 * expert
Doctor
Cricketer 
youth leader
Political expert
Nationalist 🇮🇳
#nationfirst
#rightwing 
Goal to help underprivileged childrens in future .",2017-02-11 08:32:16,103.0,"Dehradun, India",30.3255646,78.0436813,Dehradun,India,Asia,Uttarakhand,UT,2020-11-05 12:58:08.513785
2020-10-29 01:45:02,1.3216290806646292e+18,@stagged97 Exactly!  One step at a time. If we dont take the first step with #biden we arent going to get to the next steps any time soon. Like I said hes at worst better than #trump.,1.0,1.0,Twitter for iPhone,849399206.0,Trump Must Go #votebidenharris2020,NJGuy4Biden,Disappointed in our government & fighting for a change. @joebiden 4 President #resist #VoteBlueToEndThisNightmare FOLLOW BACK. Retweet to amplify. 100% non-bot,2012-09-27 14:57:54,2772.0,New Jersey,40.0757384,-74.4041622,,United States of America,North America,New Jersey,NJ,2020-10-30 15:01:25.035573
2020-10-17 05:50:18,1.317342150321967e+18,"USA TODAY: #Trump jokes he might leave country if he loses to #Biden.

Best news I've heard the past 4 years.

#vote
#VoteHimOut2020

https://t.co/E0KNdElCFX",0.0,0.0,Twitter for Android,40401090.0,Scott McNutt,sem71,About yourself in fewer than 160 characters. Why?,2009-05-16 03:31:21,110.0,"Memphis,TN",35.1490215,-90.0516285,Memphis,United States of America,North America,Tennessee,TN,2020-10-21 05:17:44.847079130
2020-11-05 03:18:49,1.3241893968542106e+18,"https://t.co/aSxqHcgECm
#b2bleadgeneration
#JustinBieber Manchester United #segundoretiro10xciento
#Elecciones #Anitta De Jong Kanye West #MUFC #biden
#armys#Dpcm #Trump yk Serter #HARRY Michigan
#EnUnActoDeCaballerosidad #Nevada
#ATEEZ #CountEveryVote nb https://t.co/Ap3r4ihdUt",0.0,0.0,Twitter Web App,1.306342640359596e+18,Ashley Saba,askashleysaba1,"I hold the key to world peace, but somebody changed the lock.",2020-09-16 21:24:57,2.0,,,,,,,,,2020-11-06 10:10:04.198195
2020-11-05 03:54:40,1.3241984194982953e+18,#USElection | Expressing confidence #JoeBiden said he is winning enough states to reach the magic number of 270 electoral votes needed to win the presidency. | Follow LIVE updates on #USPresidentialElections2020: https://t.co/yvoIyTaIx1 https://t.co/OCircfK7HM,18.0,0.0,Twitter Web App,256495314.0,Firstpost,firstpost,"Incisive opinions, in-depth analysis and views that matter. Read the last word in news on https://t.co/yXH6L1LeiM.",2011-02-23 13:09:22,2088785.0,"Mumbai, India",19.075989899999996,72.8773928,Mumbai,India,Asia,Maharashtra,MH,2020-11-06 10:20:05.338080
2020-10-27 16:24:57,1.3211257439890555e+18,"@Scaramucci He just makes shit up as he goes. The stupidity is getting old. And then Kushner saying Black Americans have to take care of themselves, dont deserve any government support. This fucking family needs to go. #Biden",0.0,0.0,Twitter for iPhone,2434947416.0,AChangeIsGonnaCome2020,MarlaSigrest,"A RN who loved nursing, mother, proud grandmother, Saints & LSU 🏈 fan- 2019, the best college football season ever, love cats, #TheResistance #Resist",2014-04-09 05:25:31,98.0,"Shreveport, LA",32.522182799999996,-93.7651944,Shreveport,United States of America,North America,Louisiana,LA,2020-10-28 14:36:23.919291
2020-11-06 08:52:52,1.324635853487047e+18,"Guys who do house chores are entitled to unlimited hand and blow job  
#blushandbliss #gbwhatsapp #MIL #TrumpMeltdown #Biden #Fajr #OPPOA93Launch https://t.co/SwRTYVwS4l",0.0,0.0,Twitter for Android,1.3073409903285903e+18,50 shades of black 😋,Goodiebillion,Don't look too hard too hard you might hurt yourself,2020-09-19 15:29:36,36.0,,,,,,,,,2020-11-07 11:50:54.957030
2020-10-28 20:06:13,1.321543816625574e+18,@AdamCrigler #JoeBiden is a liar and a crook. #BidenCrimeFamiily,0.0,0.0,Twitter for Android,347423124.0,MJ Alexander ⭐🎃,MyTwoSenseWorth,"Living for the day when I am judged by my contributions to society rather than my skin, my gender, my religion or my politics. ~ MJ Alexander #COSProject",2011-08-02 19:38:52,2027.0,"Strawberry, Arizona, USA",,,,,,,,2020-10-29 16:51:38.716082
2020-10-30 18:10:13,1.322239400407978e+18,"Biden's ""transition"" from fossil fuels has become a genuine issue in Pennsylvania, an energy-producing state with tens of thousands of jobs in the industry. #Election2020 #oilandgas #fossilfuels #Biden #Pennsylvania #energy https://t.co/jqkg1JnqlH",0.0,0.0,CoSchedule,2307137798.0,Oilfield Calendar,oilcalendar,What's Going On In The Oil Patch? Find Out Here.,2014-01-23 19:45:37,106.0,,,,,,,,,2020-11-01 11:10:34.673462
2020-10-21 06:45:04,1.3188054858190643e+18,"#Biden When someone is a serial plagiarizer like Biden has been &amp; is forced to stoop to stealing ideas &amp; writings &amp; speeches from others, that ought to be a  big red flag about the state of his intellect &amp; character-or rather the lack thereof",0.0,0.0,Twitter Web App,7.886621586157158e+17,John Silver,Silver3J,,2016-10-19 08:44:46,2.0,,,,,,,,,2020-10-27 18:31:29.889460
2020-11-07 20:53:09,1.3251795038916403e+18,"Palabras de Marc Anthony tras el triunfo de #JoeBiden


From @marcanthony
Unity, Love, Truth and Respect equals Strength. WE are the United States of America and it is time to come together as one. God Bless!   https://t.co/Vpsc8EJhaM",3.0,0.0,Instagram,156550591.0,Palabras del Alma FC,MarcAnthonyArg,"Fans Club Oficial de @MarcAnthony Palabras del Alma desde 1°Abril1998
🇦🇷🇨🇱🇺🇾🇨🇷🇨🇴🇵🇾🇪🇨🇵🇪🇻🇪🇲🇽🇺🇸🇪🇸🇮🇹🇸🇪🇧🇷🇵🇷🇭🇳🇵🇦#22añosjuntos",2010-06-17 06:51:13,3110.0,Argentina,-34.9964963,-64.9672817,,Argentina,South America,,,2020-11-08 11:11:13.388148
2020-11-04 11:25:34,1.3239495035992842e+18,#Elections2020  #amerikakiest #wnl #trump #biden https://t.co/a9pwpa5Eof,0.0,0.0,Twitter Web App,157647707.0,f.s. braudcek,battaraaf,,2010-06-20 12:46:02,250.0,,,,,,,,,2020-11-05 12:56:46.892157
2020-10-21 16:23:53,1.3189511507255706e+18,I am sending another $50 to #AmyMcGrath and others to defeat #MitchMcConnell. We MUST take back our Senate from the #GOP.  #Mitch blocked 400 congressional bills from going to the floor. When #JoeBiden wins 2020 presidency the #GOPSenate will crush America! #DumpTrump2020 #POTUS https://t.co/00bYPiFc14,0.0,0.0,Twitter for iPhone,405738850.0,Linda 🧚‍♀️🦋🦄🌸🌎⛈🌈,LGallmon,"#Democrats must boycott the final #GOP senate vote to install #AmyConeyBarrett to replace beloved #RuthBaderGinsburg. #Trump’s #Covid19 killed 226,000 Americans",2011-11-05 18:38:36,947.0,,,,,,,,,2020-10-27 18:13:04.598954
2020-10-16 20:32:19,1.317201728094208e+18,"Same for me last week on Hwy 70!  Lots of HUGE Trump signs, one for BiteMe #Biden https://t.co/b9ZFN64H4l",0.0,0.0,Twitter Web App,44868806.0,Gaile,SototG,"Married CHRISTian✝️ ELS #BibleCode searcher, God bless America! God bless Israel! AntiGlobalist  Trumplican #KAG  No DMs",2009-06-05 11:03:24,19398.0,"LandOfTheFree, HomeOfTheBrave ",,,,,,,,2020-10-21 04:28:31.678084039
2020-11-06 16:41:33,1.3247538024492237e+18,As soon as #Biden gets 270 SHTF. #Trump just fucking loses it and goes completely insane. https://t.co/XbPs86N7LJ,0.0,0.0,Twitter for Android,1135656877.0,Apollyon the Destroyer,Duktiamat,The Sheep spends it's whole life worrying about the wolves. Only to be eaten by the Shepherd. Just watching the world destroy itself in fear hate and greed. 623,2013-01-31 01:04:31,531.0,Republic of the Philippines,12.7503486,122.7312101,,Philippines,Asia,,,2020-11-07 11:47:26.901618
2020-10-19 06:46:43,1.3180811242628014e+18,"I always like to listen to clips from the #Trump rallies, but I found myself tweeting one tonight that I didn't take the time to watch. Thought to myself...must be just awful supporting #JoeBiden. You wouldn't dare just retweet absolutely anything that man is involved with.",0.0,0.0,Twitter Web App,1.2466914860301558e+18,SunflowerQGal,TracyDe34824192,Please do not include me in introductory DM & trains. I don't want notifications about other people's posts that I have not actually commented in myself. Thx:),2020-04-05 06:49:59,2349.0,,,,,,,,,2020-10-21 08:28:03.456497114
2020-11-02 11:01:20,1.32321863267618e+18,@mgcady @BrandonStorkamp @realDonaldTrump Look up the whole story. They harrassed the #Biden bus and tried to force if off the road.,0.0,0.0,Twitter Web App,18861932.0,Philip Machanick,philipmach,"Bioinformatics researcher, ICT for development researcher, computer science academic",2009-01-11 09:11:22,626.0,"Grahamstown, South Africa",-28.816623600000003,24.991639000000003,,South Africa,Africa,,,2020-11-03 14:35:11.539110
2020-10-25 18:36:19,1.3204340279591158e+18,"Almost 60 MILLION voters have already voted in the United States, a historic record ... Is it a socialist turn or a conservative wave ?? 

#Trump2020 #MAGA #DoriaTemQueCair #Biden #UnitedStates",4.0,4.0,Twitter Web App,1.2645552296783626e+18,Davidson Patrick 35 🇧🇷,DavidsonSanMoc,"🔰 Candidato a vice prefeito de Montes Claros - MG 
🔰 Conservador 
🔰 Cristão 
🔰 Pró-Vida 
🔰 Estudante de Biologia
🔰 Direita",2020-05-24 13:54:08,3763.0,Montes Claros - MG,,,,,,,,2020-10-27 18:18:43.787424
2020-11-06 00:38:29,1.3245114363501036e+18,"@10minuteexpert 
https://t.co/5fBHA6Jz5s
#ACMLOSC #COVID19 #ElectionResults2020 #EnuguIsSafe #elections #fixpix #GoBackStalin #JoeBiden #Kumerica #ManUnited #mamaafrica #money #Nevada #NeverTiredOfTacha #Quran #thursdaymorning #ThursdayMotivation #TrumpMeltdown #UCL #VoteForTejas",1.0,1.0,Twitter Web App,1.3026871926791496e+18,kayus_marketer,timileh72052078,"promote your affiliate link with me and have enough sales 💝💝
fast delivery and superb timing
dm for business",2020-09-06 19:17:13,16.0,,,,,,,,,2020-11-07 11:42:52.070774
2020-10-23 02:08:51,1.319460747500454e+18,#debate #Debates2020 #PresidentialDebate2020 #BidenHarris2020 #TrumpIsPathetic #DebateTonight #Election2020 #debates #VoteBidenHarris2020 #TrumpMeltdown #Trump #Biden #COVID19  https://t.co/jKrQSsvVwL,0.0,0.0,Twitter for iPhone,1.2920816429164134e+18,kenny. is sleeping,94SECRETHEART,lovin you’s the antidote | she/her,2020-08-08 12:54:13,1033.0,louis is a dad,,,,,,,,2020-10-27 18:26:26.925174
2020-11-04 15:57:26,1.324017923896144e+18,What the fuck is going on? Is there a fucking cheat? #Elections2020 #DonaldTrump #JoeBiden #USAElections2020 #usa #USAvotes #Vote2020 https://t.co/nTb2dxq47o,1.0,0.0,Twitter for iPhone,1.1812352866063729e+18,Timo Chan,TimoChan4,+852 Gwong Si,2019-10-07 15:50:21,27.0,,,,,,,,,2020-11-05 13:06:47.057742
2020-10-16 21:40:17,1.3172188349700178e+18,#IBelieve only this #Biden https://t.co/TltqRRrMlb https://t.co/NvWyAkgAKz,1.0,0.0,Twitter for Android,495283323.0,Gwen Ruda,gwengreenenergy,Power with Purpose #VoteBlueFlorida 😎🌿🍃🌾🌱Plant Doctor 🌴Environment & Mother Earth is my purpose. #Resist #Resist #ProsecuteTrump #DAV #GoNavy🇺🇸,2012-02-17 20:06:55,2640.0,Florida,27.7567667,-81.4639835,,United States of America,North America,Florida,FL,2020-10-21 04:35:32.671665138
2020-11-04 14:43:02,1.3239991984555172e+18,"#USElection2020 
#USElection 
#PresidentialElection2020 
#Biden 
#Trump https://t.co/M2v8BvnmHL",2.0,0.0,Twitter for iPhone,2169479163.0,Waleed Dogar ➐,awaleed155,"Don't be sorry I trusted you,my fault not yours",2013-11-05 14:42:22,371.0,"Los Angeles, CA",34.0536909,-118.242766,Los Angeles,United States of America,North America,California,CA,2020-11-05 12:54:55.910658
2020-10-28 18:57:04,1.3215264146386412e+18,"#Biden wasn't my* 1st choice, but watching tRUmp/GOP fail so spectacularly trying to demonize him. After hearing the personal stories of experiences w Joe's kindness &amp; compassion. I think Biden is the right man/time, to heal us - so we can make progress, together, as a country https://t.co/3ahXBsgZHV",2.0,0.0,Twitter for iPhone,21573162.0,Michelle G - Black Lives Matter!,9ontheturn,RN-Poker Player-Certified Smart Ass-music is my boyfriend #SteelersNation #IhaveHeardofMG #LupusChat *Former/recovering Republican* RT≠endorse #BlackLivesMatter,2009-02-22 15:50:50,2343.0,"Las Vegas,NV by VA, GA & TX",36.1672559,-115.1485163,Las Vegas,United States of America,North America,Nevada,NV,2020-10-29 16:07:54.858345
2020-10-25 08:46:40,1.3202856367551816e+18,"ohman
#foto's
#pelosi #biden 
i just can't 
wait and watch
that shit 
anymore",0.0,0.0,Twitter for Android,371410705.0,janneke,spiritje78,"wil een #twitterpauze tot na 💥#winter2020 ,, maar heb dagelijks een shot nodig blijkt,,  dus kom ik hier soms sorry zeggen dat de verkiezingen niet doorgaan 😇",2011-09-10 20:09:17,280.0,Twente,,,,,,,,2020-10-27 18:19:45.649218
2020-11-04 09:42:30,1.3239235695046203e+18,"""UNCLEAR WHY"" way of life. #Trump #Biden #USAElections2020 https://t.co/66FWKhhu13",2.0,0.0,Twitter Web App,1.1240050066157486e+18,Bianconero,Biancon3ro1897,"Juventino. Fortissimamente Gobbo. Sappiamo gioire, sappiamo soffrire, sappiamo stringere i denti, sappiamo vincere. Noi siamo la gente della Juve #38 #STRON9ER",2019-05-02 17:37:31,143.0,,,,,,,,,2020-11-05 12:57:35.998474
2020-11-04 17:36:43,1.3240429102502584e+18,"Master of lying #Trump has played his card. If you lose in counting you say fraud &amp; if you win you say I have won. Cant lose but in reality, he made a mistake. The USA election system is corrupted. #BidenHarris2020  @MEmonitor3  #USElection #Biden #Biden2020 #Trump2020 https://t.co/EonC3EQFqG",5.0,3.0,Twitter Web App,1.2725424072891884e+18,ME-monitor,MEmonitor3,Middleeast needs Peace,2020-06-15 14:52:17,604.0,,,,,,,,,2020-11-05 12:52:47.736604
2020-11-08 02:38:14,1.3252663501981573e+18,"President-elect Joe #Biden seeks to unite nation with victory speech

https://t.co/3i9bWZvsSC",0.0,0.0,Twitter for Android,1.1975419869637427e+18,Four Way Politics,FourWayPolitics,Independents▪️Democratic Party▪️Republican Party▪️All others ♻️ Let's talk 🗣️🎙️🇺🇸 An account by @personalfitnes3 for people to share their political views.,2019-11-21 15:47:23,22.0,,,,,,,,,2020-11-09 18:38:21.353834
2020-10-20 13:05:59,1.318538956074492e+18,"""Trump keeps talking about losing"":
https://t.co/UbcHDZC2Zg #Biden #politics",0.0,0.0,Twitter Web App,32517594.0,RonSupportsYou,RonSupportsYou,"Politics, technology, television, music, comedy, and much more, by Ron Feiertag",2009-04-17 18:44:58,15149.0,California,36.7014631,-118.7559974,,United States of America,North America,California,CA,2020-10-21 10:24:45.517018177
2020-10-24 20:00:36,1.3200928522910966e+18,Why exactly did #JoeBiden refer to the #DarkWinter ? https://t.co/6K3aBTRAwc,3.0,2.0,Twitter for iPhone,1.1193231928736932e+18,𝗺𝗮𝗿𝗴𝗶𝗻𝗖ⓐ𝗟𝗟,MarginCall3,Decoding the world of Wall Street. Trader. Investor. Money keeps score against failure — Not investment advice —,2019-04-19 19:33:39,3256.0,Trading Screen,,,,,,,,2020-10-27 18:06:42.725302
2020-11-01 04:37:39,1.322759687792554e+18,"O.O 
Big Corruption Obama is pointing to #JoeBiden who is having some kind of mental breakdown over at the fence all by himself staring off into space. There is no one at the rally even to go to be with him. Facade city the entire Fraud campaign of the DemonRats. Fakenews works. https://t.co/kGLVrwjZhy",11.0,6.0,Twitter Web App,9.666124369785816e+17,Alpha OmegaEnergy,AOECOIN,"#1 Impact Investment on Earth, CleanTech Startup in SouthEast Asia with 3,600 Breakthrough Clean Techs, Seeks Finance Lines, Networks, and Support Pre-IPO",2018-02-22 09:55:38,11389.0,Cambodia,13.5066394,104.869423,,Cambodia,Asia,,,2020-11-02 16:56:42.765127
2020-11-08 06:22:22,1.3253227527445504e+18,"Congratulations to new #USA president @JoeBiden &amp; vice President @KamalaHarris Lot of Love &amp; Wishes from Tamilnadu.
#USElectionResults2020 #USAelection2020 #JoeBiden #KamalaHarris #PresidentElectJoe #VicePresidentElectHarris #America https://t.co/bInpZYnta3",15.0,3.0,Twitter for Android,2820227904.0,Ilaya Thamizhan Ramesh,SriRamesh_Off,Life for Tamil | Social activist | Writer & Analyst | Politics | Thalapathy @actorvijay VMI Speaker | Mechanical Engineer | YouTuber. (Views are personnel),2014-09-19 17:46:00,5471.0,"Chennai, India",13.0836939,80.270186,Chennai,India,Asia,Tamil Nadu,TN,2020-11-09 18:29:27.356244
2020-10-23 01:45:48,1.3194549459097477e+18,Watch the Debates 2020 live here: Trump and Biden address national security and election integrity  #Debates2020 #PresidentialDebate2020 #DonaldTrump #JoeBiden #Vote https://t.co/SAMqlfbGzz,0.0,0.0,Twitter for iPhone,1.3194338150061711e+18,Donald Trump MAGA 4 MORE YEARS,donald_merch,Buy your favorite Donald Trump TShirts in support of the greatest president to drain the ugly sick swamp & create jobs and safety back to AMERICA MAGA4LIFE 🇺🇸,2020-10-23 00:21:59,0.0,,,,,,,,,2020-10-27 18:10:17.964466
2020-10-19 02:05:03,1.3180102416620134e+18,"@realDonaldTrump @marklevinshow @FoxNews @SteveHiltonx INCITING #Bullshit BY YOUR SUPPORTING PROPAGANDA TV
#joebiden #trump #biden #maga #berniesanders #election #donaldtrump #vote #democrats #kamalaharris #politics #voteblue #democrat #blacklivesmatter #usa #republican #covid #bidenharris #bernie #blm #coronavirus #america #BLM https://t.co/wqviup5sZe",0.0,0.0,Twitter for Android,1.2941391265146225e+18,Ray Thorniyo Zamora,RayThorniyo,"American of Costa Rican/Dominican  Hertiage Unions Dc9 ,Delegate 1199 Nycdcc  VOC 2090 Lu157 911 Worker Disabled Queens NY Birth the Heights #MetsfanOnce",2020-08-14 05:10:00,11.0,,,,,,,,,2020-10-21 08:13:02.954851933
2020-10-28 00:23:50,1.3212462609852744e+18,WOW! Tucker Carlsons interview with Tony Bobulinski is the nail in the coffin! #JoeBiden is DONE!,0.0,0.0,Twitter for iPhone,1.3178811425493563e+18,Tom,WiscguyNE,,2020-10-18 17:33:30,143.0,,,,,,,,,2020-10-29 16:52:57.279493
2020-11-05 02:46:55,1.3241813709150495e+18,"In #Georgia , 200,000 Mail-in votes and 50,000 Early votes are yet to be counted..

#Trump is leading #Biden by 100,000 votes..

US #Elections2020",2.0,0.0,Twitter for Android,2904643053.0,Vtv Ganesh,ganesh_vtv,Bored engineer | ContentWriter | Cinema lover | Film Entertainment | Film News & Events |  Reviews and ratings are my personal |,2014-12-04 04:13:00,2071.0,"Tirunelveli, India",8.701220300000001,77.5792694,Tirunelveli,India,Asia,Tamil Nadu,TN,2020-11-06 10:10:16.328865
2020-11-04 01:18:54,1.3237968342303498e+18,""" FREE AMAZON GIVEAWAYS ""
Limited stock left 
USA  only 
Ref*nd after Re*iew 
If interested PM me 
.
#2020Election #2020Elections #AmericaDecides2020 #ElectionNight #Election2020 #Trump #Biden #Florida #ArmyForTrump #ElectionDay https://t.co/yxZq9ziH9g",0.0,0.0,Twitter for iPhone,1.1658301217244815e+18,Amazon Free Giveaways,its_freebies1,"♠ Who doesn't love #free_Products?
. #𝐍𝐄𝐄𝐃 𝐔𝐒&𝐔𝐊 𝐑𝐄𝐕𝐈𝐄𝐖𝐄𝐑
.®️ⒺⒻⓊⓃⒹ after Review
https://t.co/xNUU4M9x11",2019-08-26 03:35:45,36.0,,,,,,,,,2020-11-05 13:02:59.825927
2020-11-07 19:18:03,1.3251555717759386e+18," 
  
 -
#KamlaHarris
#JoeBiden
#JoeBidenKamalaHarris2020
#JOEBIDEN2020

@ppbajpai @ashutosh83B @VinodDua7 @1ALOKJOSHI @BeechBazar @ravishndtv @VinodSharmaView @AAPKaYuvraj @iAmitBhatnagar @UmeshCol @thakralmanjeet @SurendraForYou https://t.co/S7hf2LtAml",3.0,0.0,Twitter for Android,410694890.0,सुशान्त Sushant @IamCommoner,IamCommoner,"ऐसे मौके आ सकते हैं, जब हम अन्याय को रोक पाने में खुद को कमजोर पायें, लेकिन ऐसा कोई मौका हरगिज़ नहीं आना चाहिए, जब हम अन्याय का विरोध करने में चूक जाएँ |",2011-11-12 12:53:29,460.0,Indore MP INDIA,,,,,,,,2020-11-08 11:12:48.495431
2020-11-06 19:55:28,1.3248026015363973e+18,"""Let's go exploring !"",
Joe &amp; Barack, January 20th 2017

I was pretty bummed out when I drew this some years ago, but now it's gonna hit differently 

#PresidentElect #JoeBiden #fbf #FlashbackFriday #drawings #calvinandhobbes #ObamaBiden #BidenHarris2020 https://t.co/0zerkL6luQ https://t.co/HnxazKwHnG",2.0,0.0,Twitter for iPad,1.225044524910764e+18,⚪️ ERIC EPOTE ART ⛽️🎱🧃,ericepoteart_,Le parapluie c’est pour les faibles. —#OswaldDoingThings #art #drawings #comics https://t.co/HDYNjm4tRW,2020-02-05 13:12:41,43.0,🌌,,,,,,,,2020-11-07 11:40:23.804155
